# ell     TT     EE      BB      TE
     0  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
     1  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
     2  1.3748690e+03  6.0316278e-02  2.2682525e-06  4.1922934e+00
     3  1.2975744e+03  9.4264857e-02  4.5371505e-06  5.0969163e+00
     4  1.2216678e+03  1.0105268e-01  7.5633463e-06  5.1288699e+00
     5  1.1629480e+03  8.4856704e-02  1.1347686e-05  4.6662490e+00
     6  1.1208654e+03  5.8922015e-02  1.5891212e-05  3.9908617e+00
     7  1.0924787e+03  3.5278242e-02  2.1195159e-05  3.2780418e+00
     8  1.0742289e+03  1.9766144e-02  2.7260941e-05  2.6303475e+00
     9  1.0638026e+03  1.2290808e-02  3.4090140e-05  2.0969850e+00
    10  1.0594556e+03  9.7417437e-03  4.1684493e-05  1.7002698e+00
    11  1.0592640e+03  8.9340465e-03  5.0045881e-05  1.4433965e+00
    12  1.0638228e+03  8.1327050e-03  5.9176309e-05  1.3158142e+00
    13  1.0703835e+03  7.0574891e-03  6.9077894e-05  1.2860056e+00
    14  1.0788733e+03  6.1335159e-03  7.9752845e-05  1.3154890e+00
    15  1.0878242e+03  5.7364947e-03  9.1203450e-05  1.3803568e+00
    16  1.0994236e+03  5.8720597e-03  1.0343205e-04  1.4663907e+00
    17  1.1134125e+03  6.2807499e-03  1.1644103e-04  1.5569553e+00
    18  1.1282438e+03  6.7138886e-03  1.3023279e-04  1.6396936e+00
    19  1.1449406e+03  7.1637658e-03  1.4480975e-04  1.7146217e+00
    20  1.1613357e+03  7.6803617e-03  1.6017427e-04  1.7738387e+00
    21  1.1783588e+03  8.4117293e-03  1.7632873e-04  1.8285624e+00
    22  1.1960351e+03  9.5099885e-03  1.9327542e-04  1.8857121e+00
    23  1.2138241e+03  1.0948145e-02  2.1101656e-04  1.9475650e+00
    24  1.2321370e+03  1.2670452e-02  2.2955431e-04  2.0150527e+00
    25  1.2511484e+03  1.4643664e-02  2.4889070e-04  2.0823680e+00
    26  1.2701960e+03  1.6852344e-02  2.6902764e-04  2.1570662e+00
    27  1.2898273e+03  1.9296645e-02  2.8996694e-04  2.2356020e+00
    28  1.3098147e+03  2.1955606e-02  3.1171024e-04  2.3058669e+00
    29  1.3300700e+03  2.4841122e-02  3.3425902e-04  2.3719582e+00
    30  1.3508735e+03  2.7963035e-02  3.5761463e-04  2.4223015e+00
    31  1.3714114e+03  3.1277809e-02  3.8177821e-04  2.4660308e+00
    32  1.3927635e+03  3.4787168e-02  4.0675075e-04  2.4918145e+00
    33  1.4142089e+03  3.8501842e-02  4.3253303e-04  2.4993532e+00
    34  1.4357113e+03  4.2526017e-02  4.5912568e-04  2.4939868e+00
    35  1.4580553e+03  4.6874688e-02  4.8652911e-04  2.4697324e+00
    36  1.4800301e+03  5.1568371e-02  5.1474357e-04  2.4451757e+00
    37  1.5023339e+03  5.6591765e-02  5.4376909e-04  2.4085893e+00
