# ell   TT    EE     BB    TE    PP    TP    EP
     0   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
     1   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
     2   1.3748648e+03   6.0314009e-02   0.0000000e+00   4.1922934e+00   4.9573064e-08   1.1061105e-09  -5.3803011e-12
     3   1.2975661e+03   9.4260320e-02   0.0000000e+00   5.0969164e+00   6.0317052e-08   1.1088357e-09  -6.4357398e-12
     4   1.2216540e+03   1.0104511e-01   0.0000000e+00   5.1288703e+00   6.9485236e-08   1.0845842e-09  -6.3080321e-12
     5   1.1629274e+03   8.4845356e-02   0.0000000e+00   4.6662499e+00   7.7435414e-08   1.0497978e-09  -5.3556529e-12
     6   1.1208366e+03   5.8906124e-02   0.0000000e+00   3.9908635e+00   8.4374147e-08   1.0113982e-09  -3.9099269e-12
     7   1.0924404e+03   3.5257047e-02   0.0000000e+00   3.2780450e+00   9.0483676e-08   9.7304985e-10  -2.2895375e-12
     8   1.0741798e+03   1.9738884e-02   0.0000000e+00   2.6303529e+00   9.5890432e-08   9.3498267e-10  -7.8058522e-13
     9   1.0637414e+03   1.2256719e-02   0.0000000e+00   2.0969934e+00   1.0070263e-07   8.9705052e-10   4.0158513e-13
    10   1.0593811e+03   9.7000610e-03   0.0000000e+00   1.7002822e+00   1.0498921e-07   8.6003794e-10   1.1536615e-12
    11   1.0591749e+03   8.8840037e-03   0.0000000e+00   1.4434143e+00   1.0884310e-07   8.2587832e-10   1.4770273e-12
    12   1.0637179e+03   8.0735337e-03   0.0000000e+00   1.3158389e+00   1.1226736e-07   7.9465561e-10   1.4237128e-12
    13   1.0702616e+03   6.9884192e-03   0.0000000e+00   1.2860390e+00   1.1536292e-07   7.6752159e-10   1.0686176e-12
    14   1.0787333e+03   6.0537754e-03   0.0000000e+00   1.3155332e+00   1.1811952e-07   7.4185059e-10   5.2133199e-13
    15   1.0876649e+03   5.6453097e-03   0.0000000e+00   1.3804141e+00   1.2061017e-07   7.1762909e-10  -6.5355592e-14
    16   1.0992440e+03   5.7686546e-03   0.0000000e+00   1.4664637e+00   1.2283859e-07   6.9374193e-10  -5.3342531e-13
    17   1.1132116e+03   6.1643473e-03   0.0000000e+00   1.5570469e+00   1.2483169e-07   6.7061843e-10  -8.2597218e-13
    18   1.1280205e+03   6.5837094e-03   0.0000000e+00   1.6398068e+00   1.2662362e-07   6.4900181e-10  -9.2777724e-13
    19   1.1446940e+03   7.0190297e-03   0.0000000e+00   1.7147601e+00   1.2822437e-07   6.2864442e-10  -8.8372982e-13
    20   1.1610648e+03   7.5202870e-03   0.0000000e+00   1.7740059e+00   1.2964177e-07   6.0913830e-10  -7.4528196e-13
    21   1.1780627e+03   8.2355332e-03   0.0000000e+00   1.8287623e+00   1.3089714e-07   5.9035921e-10  -5.3371763e-13
    22   1.1957129e+03   9.3168874e-03   0.0000000e+00   1.8859490e+00   1.3201175e-07   5.7229760e-10  -2.7416449e-13
    23   1.2134750e+03   1.0737355e-02   0.0000000e+00   1.9478433e+00   1.3299430e-07   5.5510261e-10  -3.7351957e-14
    24   1.2317603e+03   1.2441189e-02   0.0000000e+00   2.0153772e+00   1.3385146e-07   5.3891571e-10   1.0614289e-13
    25   1.2507432e+03   1.4395143e-02   0.0000000e+00   2.0827435e+00   1.3459432e-07   5.2368502e-10   1.2963509e-13
    26   1.2697616e+03   1.6583783e-02   0.0000000e+00   2.1574977e+00   1.3523445e-07   5.0930027e-10   3.2889413e-14
    27   1.2893631e+03   1.9007261e-02   0.0000000e+00   2.2360948e+00   1.3578070e-07   4.9559791e-10  -1.2242261e-13
    28   1.3093200e+03   2.1644618e-02   0.0000000e+00   2.3064263e+00   1.3623977e-07   4.8245029e-10  -2.7038055e-13
    29   1.3295441e+03   2.4507752e-02   0.0000000e+00   2.3725897e+00   1.3661171e-07   4.6991419e-10  -3.8811419e-13
    30   1.3503158e+03   2.7606506e-02   0.0000000e+00   2.4230107e+00   1.3689761e-07   4.5804222e-10  -4.6721723e-13
    31   1.3708214e+03   3.0897349e-02   0.0000000e+00   2.4668232e+00   1.3710852e-07   4.4668398e-10  -5.1411350e-13
    32   1.3921406e+03   3.4382007e-02   0.0000000e+00   2.4926958e+00   1.3725609e-07   4.3566537e-10  -5.3405564e-13
    33   1.4135526e+03   3.8071215e-02   0.0000000e+00   2.5003289e+00   1.3734414e-07   4.2491375e-10  -5.1306273e-13
    34   1.4350211e+03   4.2069165e-02   0.0000000e+00   2.4950624e+00   1.3737510e-07   4.1439885e-10  -4.3828064e-13
    35   1.4573307e+03   4.6390856e-02   0.0000000e+00   2.4709134e+00   1.3735279e-07   4.0415553e-10  -3.2030307e-13
    36   1.4792707e+03   5.1056812e-02   0.0000000e+00   2.4464672e+00   1.3728136e-07   3.9426240e-10  -1.8267243e-13
    37   1.5015392e+03   5.6051738e-02   0.0000000e+00   2.4099965e+00   1.3716444e-07   3.8490622e-10  -7.7478732e-14
    38   1.5242702e+03   6.1321555e-02   0.0000000e+00   2.3597549e+00   1.3700526e-07   3.7623020e-10  -4.7950511e-14
    39   1.5473304e+03   6.6891248e-02   0.0000000e+00   2.2974540e+00   1.3680601e-07   3.6809597e-10  -7.4022033e-14
    40   1.5706125e+03   7.2809097e-02   0.0000000e+00   2.2242948e+00   1.3656857e-07   3.6029598e-10  -1.1995688e-13
    41   1.5940028e+03   7.9112253e-02   0.0000000e+00   2.1411763e+00   1.3629502e-07   3.5266257e-10  -1.5648980e-13
    42   1.6175115e+03   8.5792649e-02   0.0000000e+00   2.0477005e+00   1.3598766e-07   3.4518261e-10  -1.7975149e-13
    43   1.6411626e+03   9.2830691e-02   0.0000000e+00   1.9426071e+00   1.3564884e-07   3.3788181e-10  -1.9220039e-13
    44   1.6650298e+03   1.0020389e-01   0.0000000e+00   1.8224761e+00   1.3528096e-07   3.3078604e-10  -1.9628418e-13
    45   1.6892069e+03   1.0788594e-01   0.0000000e+00   1.6834774e+00   1.3488651e-07   3.2392130e-10  -1.9444093e-13
    46   1.7136538e+03   1.1585753e-01   0.0000000e+00   1.5232361e+00   1.3446768e-07   3.1730309e-10  -1.8916176e-13
    47   1.7383444e+03   1.2414308e-01   0.0000000e+00   1.3426979e+00   1.3402628e-07   3.1090562e-10  -1.8317675e-13
    48   1.7632385e+03   1.3276866e-01   0.0000000e+00   1.1436135e+00   1.3356389e-07   3.0469273e-10  -1.7926989e-13
    49   1.7883159e+03   1.4175938e-01   0.0000000e+00   9.2783382e-01   1.3308205e-07   2.9862853e-10  -1.8021816e-13
    50   1.8136467e+03   1.5115532e-01   0.0000000e+00   6.9739667e-01   1.3258241e-07   2.9267731e-10  -1.8879226e-13
    51   1.8393062e+03   1.6098788e-01   0.0000000e+00   4.5404829e-01   1.3206653e-07   2.8681775e-10  -2.0656372e-13
    52   1.8652224e+03   1.7124772e-01   0.0000000e+00   1.9809676e-01   1.3153540e-07   2.8108497e-10  -2.3032985e-13
    53   1.8912991e+03   1.8191079e-01   0.0000000e+00  -7.0792014e-02   1.3099010e-07   2.7552853e-10  -2.5570390e-13
    54   1.9175099e+03   1.9295407e-01   0.0000000e+00  -3.5410872e-01   1.3043158e-07   2.7019768e-10  -2.7830858e-13
    55   1.9438484e+03   2.0435651e-01   0.0000000e+00  -6.5384164e-01   1.2986081e-07   2.6514171e-10  -2.9377542e-13
    56   1.9704650e+03   2.1609478e-01   0.0000000e+00  -9.7248010e-01   1.2927880e-07   2.6039198e-10  -2.9888298e-13
